player,pos,salary,pred_perf
Quincy Pondexter,SF,"$3,617,978 ",615.4
R.J. Hunter,SG,"$1,200,240 ",154.0
R.J. Hunter,SG,"$425,000 ",154.0
Rajon Rondo,PG,"$14,000,000 ",1629.33333333
Rakeem Christmas,PF,"$1,052,342 ",5.0
Ramon Sessions,PG,"$6,000,000 ",1788.83333333
Randy Foye,SG,"$2,500,000 ",1125.0
Rashad Vaughn,SG,"$1,811,040 ",361.0
Raul Neto,PG,"$937,800 ",725.0
Ray McCallum,PG,"$119,494 ",597.0
Ray McCallum,PG,"$11,949 ",597.0
Raymond Felton,PG-SG,"$1,551,659 ",1526.83333333
Reggie Bullock,SF,"$2,255,644 ",221.666666667
Reggie Jackson,PG,"$14,956,522 ",1637.0
Reggie Williams,SF,"$180,483 ",354.0
Reggie Williams,SF,"$72,193 ",354.0
Reggie Williams,SF,"$50,000 ",354.0
Richard Jefferson,SF,"$2,500,000 ",963.666666667
Richaun Holmes,PF,"$1,025,831 ",482.0
Ricky Rubio,PG,"$13,550,000 ",1238.4
Robbie Hummel,SF,"$150,000 ",355.0
Robert Covington,SF,"$1,015,696 ",920.666666667
Robin Lopez,C,"$13,219,250 ",1193.5
Rodney Hood,SG,"$1,406,520 ",1111.5
Rodney Stuckey,PG,"$7,000,000 ",1227.83333333
Rondae Hollis-Jefferson,SF,"$1,395,600 ",393.0
Ronnie Price,SG,"$2,557,545 ",336.666666667
Ronnie Price,SG,"$282,595 ",336.666666667
Ronnie Price,SG,"$182,548 ",336.666666667
Roy Hibbert,C,"$5,000,000 ",1531.83333333
Rudy Gay,SF,"$13,333,333 ",2535.5
Rudy Gobert,C,"$2,121,288 ",1125.66666667
Russell Westbrook,PG,"$26,540,100 ",2525.0
Ryan Anderson,PF,"$18,735,364 ",1310.66666667
Ryan Kelly,PF,"$418,228 ",567.0
Ryan Kelly,PF,"$286,785 ",567.0
Salah Mejri,C,"$874,636 ",279.0
Sam Dekker,PF,"$1,720,560 ",2.0
Sasha Kaun,C,"$1,333,420 ",54.0
Sasha Vujacic,SG,"$1,410,598 ",821.333333333
Sean Kilpatrick,SG,"$980,431 ",429.5
Serge Ibaka,PF,"$12,250,000 ",1694.83333333
Seth Curry,PG,"$2,898,000 ",143.333333333
Shabazz Muhammad,SG,"$3,046,299 ",679.333333333
Shabazz Napier,PG,"$1,350,120 ",400.0
Shaun Livingston,PG,"$5,782,450 ",969.833333333
Shelvin Mack,PG,"$2,433,334 ",752.6
Solomon Hill,SF,"$11,241,218 ",591.333333333
Spencer Dinwiddie,PG,"$726,672 ",191.0
Spencer Hawes,C,"$6,348,759 ",1482.66666667
Stanley Johnson,SF,"$2,969,880 ",970.0
