player	pos	tm	season	perf	salary
Michael Beasley	SF	['MIN', 'MIN', 'PHO', 'MIA', 'MIA', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1879, 750, 1073, 637, 324, 365]	$1,403,611 
Michael Beasley	SF	['MIN', 'MIN', 'PHO', 'MIA', 'MIA', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1879, 750, 1073, 637, 324, 365]	$777,777 
Michael Carter-Williams	PG	['PHI', 'TOT, PHI, MIL', 'MIL']	['2013-14', '2014-15', '2015-16']	[1971, 3298, 1148]	$3,183,526 
Michael Kidd-Gilchrist	SF	['CHA', 'CHA', 'CHO', 'CHO']	['2012-13', '2013-14', '2014-15', '2015-16']	[1299, 846, 1096, 141]	$13,000,000 
Mike Conley	PG	['MEM', 'MEM', 'MEM', 'MEM', 'MEM', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1868, 1370, 1889, 1883, 1638, 1362]	$26,540,100 
Mike Dunleavy	SG	['IND', 'MIL', 'MIL', 'CHI', 'CHI', 'CHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1064, 976, 1205, 1462, 957, 342]	$4,837,500 
Mike Miller	SG	['MIA', 'MIA', 'MIA', 'MEM', 'CLE', 'DEN']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[444, 397, 527, 870, 241, 156]	$3,500,000 
Mike Muscala	PF	['ATL', 'ATL', 'ATL']	['2013-14', '2014-15', '2015-16']	[136, 355, 359]	$1,015,696 
Mike Scott	PF	['ATL', 'ATL', 'ATL', 'ATL']	['2012-13', '2013-14', '2014-15', '2015-16']	[290, 1084, 792, 748]	$3,333,334 
Miles Plumlee	C	['IND', 'PHO', 'TOT, PHO, MIL', 'MIL']	['2012-13', '2013-14', '2014-15', '2015-16']	[37, 1344, 1408, 593]	$12,500,000 
Miroslav Raduljica	C	['MIL', 'MIN']	['2013-14', '2014-15']	[304, 12]	$300,000 
Mirza Teletovic	PF	['BRK', 'BRK', 'BRK', 'PHO']	['2012-13', '2013-14', '2014-15', '2015-16']	[307, 943, 556, 1325]	$10,500,000 
Mitch McGary	PF	['OKC', 'OKC']	['2014-15', '2015-16']	[381, 43]	$1,526,040 
Mo Williams	PG	['TOT, CLE, LAC', 'LAC', 'UTA', 'POR', 'TOT, MIN, CHO', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2474, 916, 917, 1111, 2900, 470]	$2,200,000 
Monta Ellis	SG	['GSW', 'TOT, GSW, MIL', 'MIL', 'DAL', 'DAL', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2599, 3306, 2340, 2226, 2007, 1759]	$10,770,000 
Montrezl Harrell	PF	['HOU']	['2015-16']	[227]	$1,000,000 
Myles Turner	C	['IND']	['2015-16']	[1036]	$2,463,840 
Nate Wolters	PG	['MIL', 'TOT, MIL, NOP']	['2013-14', '2014-15']	[746, 188]	$50,000 
Nemanja Bjelica	PF	['MIN']	['2015-16']	[601]	$3,800,000 
Nene Hilario	C	['DEN', 'TOT, DEN, WAS', 'WAS', 'WAS', 'WAS', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1834, 1780, 1303, 1195, 1169, 885]	$2,898,000 
Nerlens Noel	C	['PHI', 'PHI']	['2014-15', '2015-16']	[1612, 1471]	$4,384,490 
Nick Collison	C	['OKC', 'OKC', 'OKC', 'OKC', 'OKC', 'OKC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[732, 640, 878, 722, 628, 327]	$3,750,000 
Nick Johnson	SG	['HOU']	['2014-15']	[115]	$980,431 
Nick Young	SG	['WAS', 'TOT, WAS, LAC', 'PHI', 'LAL', 'LAL', 'LAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1336, 2092, 842, 1368, 690, 523]	$5,443,918 
Nicolas Batum	SF	['POR', 'POR', 'POR', 'POR', 'POR', 'CHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1508, 1200, 1803, 2025, 1407, 1780]	$20,869,566 
Nik Stauskas	SG	['SAC', 'PHI']	['2014-15', '2015-16']	[471, 908]	$2,993,040 
Nikola Jokic	C	['DEN']	['2015-16']	[1570]	$1,358,500 
Nikola Mirotic	PF	['CHI', 'CHI']	['2014-15', '2015-16']	[1353, 1241]	$5,782,450 
Nikola Pekovic	C	['MIN', 'MIN', 'MIN', 'MIN', 'MIN', 'MIN']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[541, 1001, 1601, 1431, 636, 78]	$12,100,000 
Nikola Vucevic	C	['PHI', 'ORL', 'ORL', 'ORL', 'ORL']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[581, 2067, 1536, 2345, 1936]	$11,750,000 
Noah Vonleh	PF	['CHO', 'POR']	['2014-15', '2015-16']	[175, 621]	$2,751,360 
Norman Powell	SG	['TOR']	['2015-16']	[438]	$874,636 
Norris Cole	PG	['MIA', 'MIA', 'MIA', 'TOT, MIA, NOP', 'NOP']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[606, 699, 890, 1920, 762]	$247,991 
Omer Asik	C	['CHI', 'CHI', 'HOU', 'HOU', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[579, 617, 1823, 675, 1365, 693]	$9,904,494 
Omri Casspi	SF	['SAC', 'CLE', 'CLE', 'HOU', 'SAC', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[990, 747, 330, 824, 907, 1297]	$3,000,000 
Otto Porter	SF	['WAS', 'WAS', 'WAS']	['2013-14', '2014-15', '2015-16']	[140, 753, 1449]	$5,893,981 
P.J. Hairston	SG	['CHO', 'TOT, CHO, MEM']	['2014-15', '2015-16']	[379, 1248]	$11,534 
P.J. Tucker	SG	['PHO', 'PHO', 'PHO', 'PHO']	['2012-13', '2013-14', '2014-15', '2015-16']	[979, 1461, 1371, 1356]	$5,300,000 
Pablo Prigioni	PG	['NYK', 'NYK', 'TOT, NYK, HOU', 'LAC']	['2012-13', '2013-14', '2014-15', '2015-16']	[639, 618, 1164, 394]	$1,050,961 
Pat Connaughton	SG	['POR']	['2015-16']	[70]	$874,636 
Patrick Beverley	PG	['HOU', 'HOU', 'HOU', 'HOU']	['2012-13', '2013-14', '2014-15', '2015-16']	[468, 954, 996, 1218]	$6,000,000 
Patrick Patterson	PF	['HOU', 'HOU', 'TOT, HOU, SAC', 'TOT, SAC, TOR', 'TOR', 'TOR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[592, 843, 2330, 2004, 1286, 999]	$6,050,000 
Patty Mills	PG	['POR', 'SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[479, 217, 397, 1158, 508, 1063]	$3,578,948 
Pau Gasol	C	['LAL', 'LAL', 'LAL', 'LAL', 'CHI', 'CHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2686, 2027, 1275, 1800, 2589, 2298]	$15,500,000 
Paul George	SG	['IND', 'IND', 'IND', 'IND', 'IND', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[783, 1355, 2268, 2511, 75, 2682]	$18,314,532 
Paul Millsap	PF	['UTA', 'UTA', 'UTA', 'ATL', 'ATL', 'ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2108, 1832, 1934, 2209, 2044, 2477]	$20,072,033 
Paul Pierce	SF	['BOS', 'BOS', 'BOS', 'BRK', 'WAS', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2161, 1695, 2187, 1500, 1284, 666]	$3,500,000 
Phil Pressey	PG	['BOS', 'BOS', 'TOT, PHI, PHO']	['2013-14', '2014-15', '2015-16']	[545, 369, 344]	$35,000 
Quincy Acy	PF	['TOR', 'TOT, TOR, SAC', 'NYK', 'SAC']	['2012-13', '2013-14', '2014-15', '2015-16']	[215, 868, 756, 548]	$1,790,902 
Quincy Acy	PF	['TOR', 'TOT, TOR, SAC', 'NYK', 'SAC']	['2012-13', '2013-14', '2014-15', '2015-16']	[215, 868, 756, 548]	$1,050,961 
Quincy Acy	PF	['TOR', 'TOT, TOR, SAC', 'NYK', 'SAC']	['2012-13', '2013-14', '2014-15', '2015-16']	[215, 868, 756, 548]	$123,642 
Quincy Pondexter	SF	['NOH', 'MEM', 'MEM', 'MEM', 'TOT, MEM, NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[315, 426, 567, 131, 1638]	$3,617,978 
R.J. Hunter	SG	['BOS']	['2015-16']	[154]	$1,200,240 
R.J. Hunter	SG	['BOS']	['2015-16']	[154]	$425,000 
Rajon Rondo	PG	['BOS', 'BOS', 'BOS', 'BOS', 'TOT, BOS, DAL', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1708, 1412, 1085, 751, 2814, 2006]	$14,000,000 
Rakeem Christmas	PF	['IND']	['2015-16']	[5]	$1,052,342 
Ramon Sessions	PG	['CLE', 'TOT, CLE, LAL', 'CHA', 'TOT, CHA, MIL', 'TOT, SAC, WAS', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1639, 2390, 1226, 2948, 1342, 1188]	$6,000,000 
Randy Foye	SG	['LAC', 'LAC', 'UTA', 'DEN', 'DEN', 'TOT, DEN, OKC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[862, 993, 1177, 1548, 624, 1546]	$2,500,000 
Rashad Vaughn	SG	['MIL']	['2015-16']	[361]	$1,811,040 
Raul Neto	PG	['UTA']	['2015-16']	[725]	$937,800 
Ray McCallum	PG	['SAC', 'SAC', 'TOT, SAS, MEM']	['2013-14', '2014-15', '2015-16']	[471, 842, 478]	$119,494 
Ray McCallum	PG	['SAC', 'SAC', 'TOT, SAS, MEM']	['2013-14', '2014-15', '2015-16']	[471, 842, 478]	$11,949 
Raymond Felton	PG-SG	['TOT, NYK, DEN', 'POR', 'NYK', 'NYK', 'DAL', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[3946, 1141, 1467, 1168, 172, 1267]	$1,551,659 
Reggie Bullock	SF	['LAC', 'TOT, LAC, PHO', 'DET']	['2013-14', '2014-15', '2015-16']	[178, 266, 221]	$2,255,644 
Reggie Jackson	PG	['OKC', 'OKC', 'OKC', 'TOT, OKC, DET', 'DET']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[254, 651, 1617, 3582, 2081]	$14,956,522 
Reggie Williams	SF	['GSW', 'CHA', 'CHA', 'OKC', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[1049, 417, 230, 11, 63]	$180,483 
Reggie Williams	SF	['GSW', 'CHA', 'CHA', 'OKC', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[1049, 417, 230, 11, 63]	$72,193 
Reggie Williams	SF	['GSW', 'CHA', 'CHA', 'OKC', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[1049, 417, 230, 11, 63]	$50,000 
Richard Jefferson	SF	['SAS', 'TOT, SAS, GSW', 'GSW', 'UTA', 'DAL', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1287, 1782, 289, 1156, 667, 601]	$2,500,000 
Richaun Holmes	PF	['PHI']	['2015-16']	[482]	$1,025,831 
Ricky Rubio	PG	['MIN', 'MIN', 'MIN', 'MIN', 'MIN']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[911, 1225, 1808, 519, 1729]	$13,550,000 
Robbie Hummel	SF	['MIN', 'MIN']	['2013-14', '2014-15']	[344, 366]	$150,000 
Robert Covington	SF	['HOU', 'PHI', 'PHI']	['2013-14', '2014-15', '2015-16']	[22, 1364, 1376]	$1,015,696 
Robin Lopez	C	['PHO', 'PHO', 'NOH', 'POR', 'POR', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[671, 612, 1505, 1761, 1042, 1570]	$13,219,250 
Rodney Hood	SG	['UTA', 'UTA']	['2014-15', '2015-16']	[630, 1593]	$1,406,520 
Rodney Stuckey	PG	['DET', 'DET', 'DET', 'DET', 'IND', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1590, 1112, 1292, 1272, 1311, 790]	$7,000,000 
Rondae Hollis-Jefferson	SF	['BRK']	['2015-16']	[393]	$1,395,600 
Ronnie Price	SG	['UTA', 'PHO', 'POR', 'ORL', 'LAL', 'PHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[306, 245, 217, 184, 474, 594]	$2,557,545 
Ronnie Price	SG	['UTA', 'PHO', 'POR', 'ORL', 'LAL', 'PHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[306, 245, 217, 184, 474, 594]	$282,595 
Ronnie Price	SG	['UTA', 'PHO', 'POR', 'ORL', 'LAL', 'PHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[306, 245, 217, 184, 474, 594]	$182,548 
Roy Hibbert	C	['IND', 'IND', 'IND', 'IND', 'IND', 'LAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1791, 1546, 1789, 1563, 1462, 1040]	$5,000,000 
Rudy Gay	SF	['MEM', 'MEM', 'TOT, MEM, TOR', 'TOT, TOR, SAC', 'SAC', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1572, 1785, 3994, 4060, 2010, 1792]	$13,333,333 
Rudy Gobert	C	['UTA', 'UTA', 'UTA']	['2013-14', '2014-15', '2015-16']	[283, 1712, 1382]	$2,121,288 
Russell Westbrook	PG	['OKC', 'OKC', 'OKC', 'OKC', 'OKC', 'OKC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2711, 2115, 2834, 1502, 2809, 3179]	$26,540,100 
Ryan Anderson	PF	['ORL', 'ORL', 'NOH', 'NOP', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1107, 1524, 1901, 592, 1174, 1566]	$18,735,364 
Ryan Kelly	PF	['LAL', 'LAL', 'LAL']	['2013-14', '2014-15', '2015-16']	[816, 587, 298]	$418,228 
Ryan Kelly	PF	['LAL', 'LAL', 'LAL']	['2013-14', '2014-15', '2015-16']	[816, 587, 298]	$286,785 
Salah Mejri	C	['DAL']	['2015-16']	[279]	$874,636 
Sam Dekker	PF	['HOU']	['2015-16']	[2]	$1,720,560 
Sasha Kaun	C	['CLE']	['2015-16']	[54]	$1,333,420 
Sasha Vujacic	SG	['TOT, LAL, NJN', 'LAC', 'NYK']	['2010-11', '2013-14', '2015-16']	[1934, 6, 524]	$1,410,598 
Sean Kilpatrick	SG	['MIN', 'TOT, DEN, BRK']	['2014-15', '2015-16']	[33, 826]	$980,431 
Serge Ibaka	PF	['OKC', 'OKC', 'OKC', 'OKC', 'OKC', 'OKC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1610, 1324, 1860, 2156, 1559, 1660]	$12,250,000 
Seth Curry	PG	['TOT, MEM, CLE', 'PHO', 'SAC']	['2013-14', '2014-15', '2015-16']	[12, 3, 415]	$2,898,000 
Shabazz Muhammad	SG	['MIN', 'MIN', 'MIN']	['2013-14', '2014-15', '2015-16']	[195, 700, 1143]	$3,046,299 
Shabazz Napier	PG	['MIA', 'ORL']	['2014-15', '2015-16']	[467, 333]	$1,350,120 
Shaun Livingston	PG	['CHA', 'MIL', 'TOT, WAS, CLE', 'BRK', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[780, 544, 1586, 1139, 870, 900]	$5,782,450 
Shelvin Mack	PG	['WAS', 'TOT, WAS, PHI, ATL', 'ATL', 'ATL', 'TOT, ATL, UTA']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[435, 464, 938, 516, 1410]	$2,433,334 
Solomon Hill	SF	['IND', 'IND', 'IND']	['2013-14', '2014-15', '2015-16']	[94, 1196, 484]	$11,241,218 
Spencer Dinwiddie	PG	['DET', 'DET']	['2014-15', '2015-16']	[289, 93]	$726,672 
Spencer Hawes	C	['PHI', 'PHI', 'PHI', 'TOT, PHI, CLE', 'LAC', 'CHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1173, 732, 1684, 3836, 787, 684]	$6,348,759 
Stanley Johnson	SF	['DET']	['2015-16']	[970]	$2,969,880 
Stephen Curry	PG	['GSW', 'GSW', 'GSW', 'GSW', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1994, 591, 2537, 2721, 2790, 3254]	$12,112,359 
Steve Novak	SF	['TOT, DAL, SAS', 'NYK', 'NYK', 'TOR', 'TOT, UTA, OKC', 'TOT, OKC, MIL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[274, 597, 746, 260, 186, 56]	$1,551,659 
Steven Adams	C	['OKC', 'OKC', 'OKC']	['2013-14', '2014-15', '2015-16']	[666, 1151, 1278]	$3,140,517 
T.J. McConnell	PG	['PHI']	['2015-16']	[1075]	$874,636 
T.J. Warren	SF	['PHO', 'PHO']	['2014-15', '2015-16']	[355, 727]	$2,128,920 
Taj Gibson	PF	['CHI', 'CHI', 'CHI', 'CHI', 'CHI', 'CHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1159, 911, 964, 1721, 1141, 1283]	$8,950,000 
Tarik Black	C	['TOT, HOU, LAL', 'LAL']	['2014-15', '2015-16']	[1568, 316]	$6,191,000 
Terrence Jones	PF	['HOU', 'HOU', 'HOU', 'HOU']	['2012-13', '2013-14', '2014-15', '2015-16']	[202, 1617, 682, 699]	$1,050,961 
Terrence Ross	SG	['TOR', 'TOR', 'TOR', 'TOR']	['2012-13', '2013-14', '2014-15', '2015-16']	[673, 1213, 1128, 994]	$10,000,000 
Terry Rozier	PG	['BOS']	['2015-16']	[160]	$1,906,440 
Thabo Sefolosha	SG	['OKC', 'OKC', 'OKC', 'OKC', 'ATL', 'ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[938, 392, 1138, 738, 612, 975]	$3,850,000 
Thaddeus Young	PF	['PHI', 'PHI', 'PHI', 'PHI', 'TOT, MIN, BRK', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1578, 1257, 1921, 2113, 3374, 1910]	$14,153,652 
Thomas Robinson	PF	['TOT, SAC, HOU', 'POR', 'TOT, POR, PHI', 'BRK']	['2012-13', '2013-14', '2014-15', '2015-16']	[1346, 666, 1274, 718]	$1,050,961 
Tiago Splitter	C	['SAS', 'SAS', 'SAS', 'SAS', 'SAS', 'ATL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[519, 901, 1510, 921, 770, 359]	$8,550,000 
Tibor Pleiss	C	['UTA']	['2015-16']	[36]	$3,000,000 
Tim Duncan	C	['SAS', 'SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1977, 1576, 2183, 2083, 2087, 1167]	$1,881,250 
Tim Frazier	PG	['TOT, PHI, POR', 'TOT, POR, NOP']	['2014-15', '2015-16']	[256, 1006]	$2,090,000 
Tim Hardaway	SG	['NYK', 'NYK', 'ATL']	['2013-14', '2014-15', '2015-16']	[1015, 1039, 468]	$2,281,605 
Timofey Mozgov	C	['TOT, NYK, DEN', 'DEN', 'DEN', 'DEN', 'TOT, DEN, CLE', 'CLE']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[608, 444, 223, 1365, 2890, 853]	$16,000,000 
Tobias Harris	SF	['MIL', 'TOT, MIL, ORL', 'ORL', 'ORL', 'TOT, ORL, DET']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[320, 1938, 1386, 1708, 3584]	$17,200,000 
Toney Douglas	SG	['NYK', 'NYK', 'TOT, HOU, SAC', 'TOT, GSW, MIA', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1348, 360, 1632, 694, 102, 842]	$348,207 
Toney Douglas	SG	['NYK', 'NYK', 'TOT, HOU, SAC', 'TOT, GSW, MIA', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1348, 360, 1632, 694, 102, 842]	$154,758 
Toney Douglas	SG	['NYK', 'NYK', 'TOT, HOU, SAC', 'TOT, GSW, MIA', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1348, 360, 1632, 694, 102, 842]	$100,593 
Tony Allen	SG	['MEM', 'MEM', 'MEM', 'MEM', 'MEM', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1027, 923, 1235, 816, 978, 951]	$5,505,618 
Tony Parker	PG	['SAS', 'SAS', 'SAS', 'SAS', 'SAS', 'SAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2012, 1638, 1928, 1571, 1340, 1346]	$14,445,313 
Tony Snell	SG	['CHI', 'CHI', 'CHI']	['2013-14', '2014-15', '2015-16']	[538, 668, 581]	$2,368,327 
Tony Wroten	SG	['MEM', 'PHI', 'PHI', 'PHI']	['2012-13', '2013-14', '2014-15', '2015-16']	[145, 1274, 693, 82]	$25,000 
Trevor Ariza	SF	['NOH', 'NOH', 'WAS', 'WAS', 'HOU', 'HOU']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1429, 812, 917, 1787, 1744, 1652]	$7,806,971 
Trevor Booker	PF	['WAS', 'WAS', 'WAS', 'WAS', 'UTA', 'UTA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[665, 817, 552, 962, 1043, 1018]	$9,250,000 
Trey Burke	PG	['UTA', 'UTA', 'UTA']	['2013-14', '2014-15', '2015-16']	[1416, 1461, 900]	$3,386,598 
Trey Lyles	PF	['UTA']	['2015-16']	[825]	$2,340,600 
Tristan Thompson	PF	['CLE', 'CLE', 'CLE', 'CLE', 'CLE']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[918, 1846, 1756, 1401, 1471]	$15,330,435 
Troy Daniels	SG	['HOU', 'TOT, HOU, MIN, CHO', 'CHO']	['2013-14', '2014-15', '2015-16']	[48, 436, 310]	$3,332,940 
Ty Lawson	PG	['DEN', 'DEN', 'DEN', 'DEN', 'DEN', 'TOT, HOU, IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1466, 1566, 1848, 1758, 2013, 1390]	$1,315,448 
Tyler Ennis	PG	['TOT, PHO, MIL', 'MIL']	['2014-15', '2015-16']	[420, 356]	$1,733,880 
Tyler Johnson	SG	['MIA', 'MIA']	['2014-15', '2015-16']	[325, 493]	$5,628,000 
Tyler Zeller	C	['CLE', 'CLE', 'BOS', 'BOS']	['2012-13', '2013-14', '2014-15', '2015-16']	[1154, 713, 1405, 557]	$8,000,000 
Tyreke Evans	SG	['SAC', 'SAC', 'SAC', 'NOP', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1537, 1551, 1492, 1676, 2141, 639]	$10,661,286 
Tyson Chandler	C	['DAL', 'NYK', 'NYK', 'NYK', 'DAL', 'PHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1500, 1410, 1484, 1096, 1747, 1099]	$12,415,000 
Tyus Jones	PG	['MIN']	['2015-16']	[312]	$1,339,680 
Udonis Haslem	PF	['MIA', 'MIA', 'MIA', 'MIA', 'MIA', 'MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[212, 896, 732, 363, 558, 150]	$4,000,000 
Victor Oladipo	PG	['ORL', 'ORL', 'ORL']	['2013-14', '2014-15', '2015-16']	[1672, 1824, 1797]	$6,552,960 
Vince Carter	SG	['TOT, ORL, PHO', 'DAL', 'DAL', 'DAL', 'MEM', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2880, 956, 1628, 1451, 610, 616]	$4,264,057 
Wayne Ellington	SG	['MIN', 'MIN', 'TOT, MEM, CLE', 'DAL', 'LAL', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[568, 453, 1750, 214, 950, 851]	$6,000,000 
Wayne Ellington	SG	['MIN', 'MIN', 'TOT, MEM, CLE', 'DAL', 'LAL', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[568, 453, 1750, 214, 950, 851]	$923,670 
Wesley Johnson	SG	['MIN', 'MIN', 'PHO', 'LAL', 'LAL', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1114, 652, 548, 1260, 1213, 937]	$5,628,000 
Wesley Matthews	SG	['POR', 'POR', 'POR', 'POR', 'POR', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1695, 1279, 1386, 1809, 1323, 1383]	$17,100,000 
Will Barton	SG	['POR', 'POR', 'TOT, POR, DEN', 'DEN']	['2012-13', '2013-14', '2014-15', '2015-16']	[481, 271, 1292, 1828]	$3,533,333 
Willie Cauley-Stein	C	['SAC']	['2015-16']	[920]	$3,551,160 
Willie Reed	C	['BRK']	['2015-16']	[334]	$1,015,696 
Wilson Chandler	SF	['TOT, NYK, DEN', 'DEN', 'DEN', 'DEN', 'DEN']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15']	[3332, 127, 833, 1252, 1671]	$11,200,000 
Yi Jianlian	PF	['WAS', 'DAL']	['2010-11', '2011-12']	[636, 134]	$250,000 
Zach LaVine	PG	['MIN', 'MIN']	['2014-15', '2015-16']	[1139, 1560]	$2,240,880 
Zach Randolph	PF	['MEM', 'MEM', 'MEM', 'MEM', 'MEM', 'MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2518, 582, 2073, 2261, 1970, 1662]	$10,361,445 
Zaza Pachulia	C	['ATL', 'ATL', 'ATL', 'MIL', 'MIL', 'DAL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[727, 994, 698, 844, 1252, 1463]	$2,898,000 
