player	pos	tm	season	perf	salary
Brandon Jennings	PG	['MIL', 'MIL', 'MIL', 'DET', 'DET', 'TOT, DET, ORL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1528, 1831, 2096, 1988, 966, 1154]	$4,837,318 
Brandon Jennings	PG	['MIL', 'MIL', 'MIL', 'DET', 'DET', 'TOT, DET, ORL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1528, 1831, 2096, 1988, 966, 1154]	$1,200,000 
Brandon Knight	PG	['DET', 'DET', 'MIL', 'TOT, MIL, PHO', 'PHO']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1197, 1410, 1796, 3110, 1387]	$12,606,250 
Brandon Rush	SG	['IND', 'GSW', 'GSW', 'UTA', 'GSW', 'GSW']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[893, 998, 14, 141, 89, 553]	$3,500,000 
Brian Roberts	PG	['NOH', 'NOP', 'CHO', 'TOT, CHO, POR']	['2012-13', '2013-14', '2014-15', '2015-16']	[840, 1002, 733, 578]	$1,050,961 
Briante Weber	PG	['TOT, MEM, MIA']	['2015-16']	[160]	$328,000 
Briante Weber	PG	['TOT, MEM, MIA']	['2015-16']	[160]	$102,898 
Briante Weber	PG	['TOT, MEM, MIA']	['2015-16']	[160]	$51,449 
Brook Lopez	C	['NJN', 'NJN', 'BRK', 'BRK', 'BRK', 'BRK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2281, 119, 2075, 481, 1886, 2228]	$21,165,675 
Bruno Caboclo	SF	['TOR', 'TOR']	['2014-15', '2015-16']	[9, 5]	$1,589,640 
C.J. McCollum	SG	['POR', 'POR', 'POR']	['2013-14', '2014-15', '2015-16']	[257, 582, 2190]	$3,219,579 
C.J. Miles	SF	['UTA', 'UTA', 'CLE', 'CLE', 'IND', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1409, 704, 963, 675, 1244, 1003]	$4,583,450 
C.J. Watson	PG	['CHI', 'CHI', 'BRK', 'IND', 'IND', 'ORL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[678, 735, 858, 630, 907, 295]	$5,000,000 
C.J. Wilcox	SG	['LAC', 'LAC']	['2014-15', '2015-16']	[50, 102]	$1,209,680 
Cameron Payne	PG	['OKC']	['2015-16']	[474]	$2,112,480 
Carl Landry	PF	['TOT, SAC, NOH', 'NOH', 'GSW', 'SAC', 'SAC', 'PHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2552, 724, 1373, 133, 775, 528]	$6,500,000 
Carlos Delfino	SF	['MIL', 'MIL', 'HOU']	['2010-11', '2011-12', '2012-13']	[904, 842, 1068]	$650,000 
Carmelo Anthony	SF	['TOT, DEN, NYK', 'NYK', 'NYK', 'NYK', 'NYK', 'NYK']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[5324, 1731, 2460, 2924, 1320, 2352]	$24,559,380 
Caron Butler	SF	['DAL', 'LAC', 'LAC', 'TOT, MIL, OKC', 'DET', 'SAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[587, 1045, 1104, 1804, 733, 102]	$517,220 
Chandler Parsons	SF	['HOU', 'HOU', 'HOU', 'DAL', 'DAL']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1054, 1810, 1906, 1513, 1263]	$22,116,750 
Channing Frye	PF	['PHO', 'PHO', 'PHO', 'ORL', 'TOT, ORL, CLE']	['2010-11', '2011-12', '2013-14', '2014-15', '2015-16']	[1637, 1190, 1458, 944, 1488]	$7,806,971 
Chris Andersen	C	['DEN', 'DEN', 'MIA', 'MIA', 'MIA', 'TOT, MIA, MEM']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[545, 370, 432, 951, 709, 468]	$1,551,659 
Chris Bosh	PF	['MIA', 'MIA', 'MIA', 'MIA', 'MIA', 'MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2193, 1559, 1895, 1923, 1304, 1520]	$23,741,060 
Chris McCullough	PF	['BRK']	['2015-16']	[214]	$1,191,480 
Chris Paul	PG	['NOH', 'LAC', 'LAC', 'LAC', 'LAC', 'LAC']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2393, 1977, 2146, 2129, 2759, 2465]	$22,868,828 
Chris Wright	SF	['GSW', 'DAL', 'MIL']	['2011-12', '2012-13', '2013-14']	[131, 1, 80]	$100,000 
Christian Wood	PF	['PHI']	['2015-16']	[112]	$874,636 
