player,pos,salary,pred_perf
Jahlil Okafor,C,"$4,788,840 ",1325
Jamal Crawford,SG,"$13,253,012 ",1378.5
Jameer Nelson,PG,"$4,540,525 ",1289.666667
James Ennis,SF,"$2,898,000 ",493.5
James Harden,SG,"$26,540,100 ",2434.166667
James Johnson,SF,"$4,000,000 ",780.8333333
James Jones,SF,"$1,551,659 ",300
James Michael McAdoo,PF,"$980,431 ",151.5
James Young,SG,"$1,825,200 ",115.5
Jared Dudley,SF,"$10,470,000 ",1102
Jared Sullinger,PF,"$5,628,000 ",1329.25
Jarell Eddie,SF,"$175,000 ",96
Jarell Martin,PF,"$1,286,160 ",250
Jarnell Stokes,PF,"$150,000 ",62
Jarrett Jack,SG-PG,"$1,551,659 ",1394.666667
Jarrett Jack,SG-PG,"$500,000 ",1394.666667
Jarrett Jack,SG-PG,"$91,274 ",1394.666667
Jason Smith,C,"$5,000,000 ",731.5
Jason Terry,SG,"$1,551,659 ",966.8333333
Jason Thompson,PF,"$945,126 ",1126.5
Jeff Green,PF-SF,"$15,000,000 ",2454.6
Jeff Teague,PG,"$8,800,000 ",1552.833333
Jeff Withey,C,"$1,015,696 ",350
Jerami Grant,SF,"$980,431 ",1013.5
Jeremy Evans,SF,"$1,227,286 ",291.8333333
Jeremy Lamb,SF,"$6,511,628 ",614.75
Jeremy Lin,PG,"$11,483,254 ",1112
Jerian Grant,PG,"$1,643,040 ",719
Jerryd Bayless,PG,"$9,424,084 ",1231.833333
Jimmy Butler,SG,"$17,552,209 ",1373.6
Joakim Noah,C,"$17,000,000 ",1465
Jodie Meeks,SG,"$6,540,000 ",852
Joe Harris,SG,"$980,431 ",96
Joe Ingles,SF,"$2,250,000 ",660
Joe Johnson,SG,"$11,000,000 ",1901.166667
Joe Young,PG,"$1,052,342 ",251
Joel Anthony,C,"$497,858 ",292.8333333
Joel Anthony,C,"$165,952 ",292.8333333
Joffrey Lauvergne,C,"$1,709,720 ",482
John Henson,PF,"$12,517,606 ",951.5
John Jenkins,SG,"$469,841 ",315.75
John Lucas III,PG,"$635,753 ",286.6
John Wall,PG,"$16,957,900 ",2113.333333
Johnny O'Bryant,PF,"$115,344 ",284
Johnny O'Bryant,PF,"$57,672 ",284
Jon Leuer,PF,"$10,991,957 ",518.6
Jonas Jerebko,PF,"$5,000,000 ",860.8
Jonas Valanciunas,C,"$14,382,022 ",1427.25
Jonathon Simmons,SG,"$874,636 ",461
Jordan Adams,SG,"$1,465,080 ",80
Jordan Clarkson,PG,"$12,500,000 ",1378.5
Jordan Farmar,PG,"$510,921 ",567
Jordan Farmar,PG,"$66,384 ",567
Jordan Farmar,PG,"$16,595 ",567
Jordan Hill,C,"$3,911,380 ",979.6666667
Jordan McRae,PG,"$874,636 ",266
Jordan Mickey,PF,"$1,223,653 ",45
Jose Calderon,PG,"$7,708,427 ",1441.666667
Jose Calderon,PG,"$247,991 ",1441.666667
Josh Huestis,PF,"$1,191,480 ",24
Josh McRoberts,PF,"$5,782,450 ",836.6666667
Josh Richardson,SG,"$874,636 ",547
Josh Smith,PF,"$5,400,000 ",2270.166667
Jrue Holiday,PG,"$11,286,518 ",1496.666667
Julius Randle,PF,"$3,267,120 ",913
Julyan Stone,SG,"$50,000 ",53.33333333
Justin Anderson,SF,"$1,514,160 ",389
Justin Hamilton,C,"$3,000,000 ",454
Justin Holiday,SG,"$1,015,696 ",421
Justise Winslow,SF,"$2,593,440 ",1021
Jusuf Nurkic,C,"$1,921,320 ",691.5
K.J. McDaniels,SG,"$3,333,333 ",836.5
Karl-Anthony Towns,C,"$5,960,160 ",2535
Kawhi Leonard,SF,"$17,638,063 ",1542.2
Keith Benson,C,"$75,000 ",3
Kelly Olynyk,C,"$3,094,014 ",1064.666667
Kelly Oubre,SF,"$2,006,640 ",377
Kemba Walker,PG,"$12,000,000 ",1913.6
Kenneth Faried,PF,"$12,078,652 ",1550.2
Kent Bazemore,SG,"$15,730,338 ",867
Kentavious Caldwell-Pope,SG,"$3,678,319 ",1237
Kevin Durant,SF,"$26,540,100 ",2659.833333
Kevin Garnett,PF,"$8,000,000 ",1310.333333
Kevin Love,PF,"$21,165,675 ",2161.166667
Kevin Martin,SG,"$1,360,305 ",1385.333333
Kevin Seraphin,PF,"$1,800,000 ",628.6666667
Kevon Looney,PF,"$1,182,840 ",18
Khris Middleton,SG,"$15,200,000 ",1335.25
Klay Thompson,SG,"$16,663,575 ",1830.2
Kosta Koufos,C,"$8,046,500 ",910.8333333
Kris Humphries,PF,"$4,000,000 ",1212.5
Kristaps Porzingis,PF,"$4,317,720 ",1714
Kyle Anderson,SF,"$1,192,080 ",466.5
Kyle Korver,SG,"$5,239,437 ",1154
Kyle Lowry,PG,"$12,000,000 ",1868.833333
Kyle O'Quinn,C,"$3,900,000 ",654.75
Kyle Singler,SF,"$4,837,500 ",1063
Kyrie Irving,PG,"$17,638,063 ",1768.8
